name,link,min_salary,max_salary,currency
Разработчик Python,https://lipetsk.hh.ru/vacancy/82904137?from=vacancy_search_list&query=python,100000,None,₽
Программист Python (парсинг данных),https://lipetsk.hh.ru/vacancy/83053963?from=vacancy_search_list&query=python,40000,None,₽
Разработчик Python,https://lipetsk.hh.ru/vacancy/80402635?from=vacancy_search_list&query=python,150000,None,₽
Инженер-программист (Python),https://lipetsk.hh.ru/vacancy/82877348?from=vacancy_search_list&query=python,150000,None,₽
Программист Python (парсинг данных),https://lipetsk.hh.ru/vacancy/83053964?from=vacancy_search_list&query=python,40000,None,₽
Разработчик Python MLOps,https://lipetsk.hh.ru/vacancy/83055766?from=vacancy_search_list&query=python,250000,None,₽
Python middle developer,https://lipetsk.hh.ru/vacancy/83268142?from=vacancy_search_list&query=python,140000,200000,₽
"Преподаватель/ментор по программированию (Python, Roblox)",https://lipetsk.hh.ru/vacancy/82882010?from=vacancy_search_list&query=python,100000,200000,₸
Senior Python developer (MLOps),https://lipetsk.hh.ru/vacancy/83148895?from=vacancy_search_list&query=python,4000,None,€
Backend-разработчик Python,https://lipetsk.hh.ru/vacancy/82935668?from=vacancy_search_list&query=python,230000,None,₽
Преподаватель Python,https://lipetsk.hh.ru/vacancy/83128330?from=vacancy_search_list&query=python,75000,125000,₽
Backend-разработчик Python/C++,https://lipetsk.hh.ru/vacancy/82900807?from=vacancy_search_list&query=python,2500,3500,$
Преподаватель Python,https://lipetsk.hh.ru/vacancy/83128331?from=vacancy_search_list&query=python,75000,125000,₽
Преподаватель Python (offline),https://lipetsk.hh.ru/vacancy/83365087?from=vacancy_search_list&query=python,None,None,None
Ведущий разработчик Python,https://lipetsk.hh.ru/vacancy/83086630?from=vacancy_search_list&query=python,200000,None,₽
Python разработчик (аккредитованная компания),https://lipetsk.hh.ru/vacancy/82926114?from=vacancy_search_list&query=python,240000,270000,₽
Backend-разработчик Python/C++,https://lipetsk.hh.ru/vacancy/82900806?from=vacancy_search_list&query=python,2500,3500,$
Python Django - ментор,https://lipetsk.hh.ru/vacancy/81960294?from=vacancy_search_list&query=python,None,None,None
Java developer (команда Пандора),https://lipetsk.hh.ru/vacancy/83356341?from=vacancy_search_list&query=python,None,None,None
Рекрутер - Разработчик AI Python (Удаленно),https://lipetsk.hh.ru/vacancy/84066861?from=vacancy_search_list&query=python,100000,160000,₽
Backend Python developer (senior/middle+),https://lipetsk.hh.ru/vacancy/82734703?from=vacancy_search_list&query=python,150000,200000,₽
Python разработчик,https://lipetsk.hh.ru/vacancy/84065924?from=vacancy_search_list&query=python,None,None,None
Middle Python Developer,https://lipetsk.hh.ru/vacancy/82565336?from=vacancy_search_list&query=python,150000,200000,₽
Senior Python developer,https://lipetsk.hh.ru/vacancy/84101593?from=vacancy_search_list&query=python,200000,380000,₽
Middle разработчик Python / Django,https://lipetsk.hh.ru/vacancy/82910400?from=vacancy_search_list&query=python,60000,140000,₽
Junior Data Engineer,https://lipetsk.hh.ru/vacancy/83574970?from=vacancy_search_list&query=python,None,None,None
Старший Python разработчик (удаленно) можно работать из-за границы!,https://lipetsk.hh.ru/vacancy/83694628?from=vacancy_search_list&query=python,230000,None,₽
Python Developer (Low-Code) / Разработчик,https://lipetsk.hh.ru/vacancy/84023872?from=vacancy_search_list&query=python,120000,None,₽
Python Developer (Data Science),https://lipetsk.hh.ru/vacancy/84273008?from=vacancy_search_list&query=python,100000,None,₽
Python-разработчик,https://lipetsk.hh.ru/vacancy/83701101?from=vacancy_search_list&query=python,None,None,None
Backend developer (python),https://lipetsk.hh.ru/vacancy/83207201?from=vacancy_search_list&query=python,230000,None,₽
Программист python (БДУ),https://lipetsk.hh.ru/vacancy/82626496?from=vacancy_search_list&query=python,None,None,None
